%time input output
0.017059 -1.84294448562 -0.0709950477191
0.01706 -1.87381314586 -0.0609988124057
0.017061 -1.90466331231 -0.0509773010676
0.017062 -1.93549468051 -0.0409306126137
0.017063 -1.96630694615 -0.0308588462004
0.017064 -1.99709980514 -0.0207621012321
0.017065 -2.02787295357 -0.0106404773594
0.017066 -2.0586260877 -0.000494074478813
0.017067 -2.08935890402 0.00967700726877
0.017068 -2.12007109922 0.019872667499
0.017069 -2.15076237017 0.0300928055846
0.01707 -2.18143241397 0.0403373206571
0.017071 -2.2120809279 0.0506061116073
0.017072 -2.24270760949 0.0608990770863
0.017073 -2.27331215647 0.0712161155067
0.017074 -2.30389426677 0.0815571250434
0.017075 -2.33445363856 0.0919220036351
0.017076 -2.36498997024 0.102310648984
0.017077 -2.39550296042 0.112722958559
0.017078 -2.42599230795 0.123158829595
0.017079 -2.45645771192 0.133618159094
0.01708 -2.48689887165 0.144100843826
0.017081 -2.51731548668 0.154606780331
0.017082 -2.54770725683 0.165135864921
0.017083 -2.57807388214 0.175687993677
0.017084 -2.6084150629 0.186263062454
0.017085 -2.63873049965 0.196860966881
0.017086 -2.6690198932 0.20748160236
0.017087 -2.6992829446 0.21812486407
0.017088 -2.72951935517 0.228790646967
0.017089 -2.75972882649 0.239478845783
0.01709 -2.78991106039 0.25018935503
0.017091 -2.820065759 0.260922069
0.017092 -2.8501926247 0.271676881765
0.017093 -2.88029136015 0.28245368718
0.017094 -2.91036166828 0.293252378882
0.017095 -2.94040325232 0.304072850291
0.017096 -2.97041581577 0.314914994616
0.017097 -3.00039906241 0.325778704847
0.017098 -3.03035269633 0.336663873764
0.017099 -3.06027642188 0.347570393936
0.0171 -3.09016994375 0.358498157718
0.017101 -3.12003296688 0.36944705726
0.017102 -3.14986519655 0.380416984499
0.017103 -3.17966633832 0.391407831166
0.017104 -3.20943609807 0.402419488787
0.017105 -3.23917418198 0.413451848681
0.017106 -3.26888029655 0.424504801963
0.017107 -3.29855414859 0.435578239544
0.017108 -3.32819544523 0.446672052135
0.017109 -3.35780389393 0.457786130243
0.01711 -3.38737920245 0.468920364178
0.017111 -3.41692107891 0.480074644049
0.017112 -3.44642923175 0.491248859768
0.017113 -3.47590336971 0.50244290105
0.017114 -3.50534320191 0.513656657413
0.017115 -3.53474843779 0.524890018184
0.017116 -3.56411878713 0.536142872493
